UserId,UsageDuraiton,Age,Country,TotalLikes
1,2,55,Turkey,5
2,6,45,Canada,10
3,3,50,Ireland,7
4,4,35,South Africa,5
5,1,58,Turkey,2
6,13,18,Turkey,25
7,3,50,Australia,1
8,9,25,Canada,8
9,8,27,Kosovo,10
10,9,26,Australia,0
11,1,60,Croatia,1
12,9,19,South Africa,2
13,5,28,Serbia,5
14,2,58,Croatia,4
15,7,30,South Africa,3
16,11,18,Singapore,25
17,2,52,Barbados,1
18,2,50,Bulgaria,0
19,6,22,Australia,4
20,5,20,Canada,5
21,2,39,Panama,0
22,3,30,Turkey,5
23,4,26,Bulgaria,3
24,5,24,Canada,6
25,5,22,Panama,2
26,2,47,Ireland,1
27,1,50,Mexico,2
28,5,19,Turkey,5
29,4,18,Turkey,4
30,7,18,Bulgaria,0
31,1,18,Canada,10
32,4,19,Canada,5
33,1,55,Bulgaria,1
34,7,18,Singapore,8
35,4,18,Singapore,5
36,1,26,Singapore,4
37,8,18,Singapore,19
38,2,24,Turkey,6
39,1,55,Germany,2
40,1,54,Germany,0
41,2,52,Germany,3
42,1,55,Germany,4
43,5,18,Germany,8
44,2,18,Germany,2
45,5,18,Germany,4
46,3,26,Serbia,4
47,2,27,Serbia,4
48,1,53,Panama,1
48,2,49,Panama,0
49,1,50,Turkey,3
50,5,20,Turkey,8
51,4,20,Panama,8
52,2,50,Panama,1
53,3,22,Australia,3
54,4,18,Australia,2
55,8,18,Australia,28
56,1,55,Australia,1
57,2,55,Bulgaria,0
58,2,51,Turkey,1
59,8,19,Germany,15
60,2,20,Bulgaria,4
61,9,18,Germany,18
62,2,52,Panama,2



